API_WELLNO,WH_LAT,WH_LONG,CONAME,DT_APP_ISSUED,DT_APP_RECVD,APP_TYP,APPNO,EXIST_WELL,LOCATION_ID,RIG_TYP,PROP_WLTYPE,PROP_WELL_CLASS,APP_TYP_Description
34151256020000,40.747552626071,-81.480790463936,RANGE RESOURCES-APPALACHIA LLC,10/02/2007,07/06/2007,NW,aPATT012701,False,aPATT012701,RTAF,OG_R,POOL,Drill New Well
34151239130000,40.7618995634454,-81.2327083398849,WILLIAM S MILLER INC,07/23/2007,07/10/2007,PA,aPATT012743,True,aPATT012743,SERV,OG_R,,Plug and Abandon
34151255900000,40.7338176344526,-81.3755399564277,RANGE RESOURCES-APPALACHIA LLC,08/06/2007,07/16/2007,NW,aPATT012794,False,aPATT012794,RTAF,OG_R,POOL,Drill New Well
34151255800000,40.8579698533756,-81.2662884248571,RANGE RESOURCES-APPALACHIA LLC,07/30/2007,07/16/2007,RR,aPATT012795,True,aPATT012795,RTAF,OG_R,POOL,Reissue Revised Location
34151252530000,40.716323,-81.607012,ENERVEST OPERATING LLC,07/30/2007,07/18/2007,PB,aPATT012804,True,aPATT012804,SERV,OG_R,POOL,Plug Back
34151246530000,40.7705498819349,-81.3674068976831,BECK ENERGY CORPORATION,08/01/2007,07/20/2007,PA,aPATT012825,True,aPATT012825,SERV,OG_R,,Plug and Abandon
34151231600000,40.9027037463341,-81.2336348419819,RANGE RESOURCES-APPALACHIA LLC,08/16/2007,07/30/2007,PA,aPATT012891,True,aPATT012891,SERV,OG_R,,Plug and Abandon
34151251490000,40.9818428486121,-81.2159994091185,DORFMAN PRODUCTION COMPANY,08/24/2007,08/07/2007,PB,aPATT012952,True,aPATT012952,RTA,OG_R,POOL,Plug Back
34151255910000,40.8854673465245,-81.2190626409021,RANGE RESOURCES-APPALACHIA LLC,08/27/2007,08/09/2007,NW,aPATT012970,False,aPATT012970,RTAF,OG_R,POOL,Drill New Well
34151211110000,40.9262295806565,-81.3989421032117,DAVID A WALDRON & ASSOC,08/28/2007,08/10/2007,PA,aPATT012988,True,aPATT012988,SERV,OG_R,,Plug and Abandon
